hit_ID,x,y,z,layer_ID,particle_ID,particle_energy
5842,0.11205582819803993,0.00022164680245184926,4.1560125,Plane 2,1748,6712.621786155553
5847,0.11965450142274521,-0.0011854329283167123,4.1560125,Plane 2,1753,6178.54378974774
5852,0.12434709546371508,-0.0007330872484215182,4.1560125,Plane 2,1758,5929.8722690597715
5853,0.12307061454726567,-0.000592001053591344,4.1560125,Plane 2,1759,6062.053922137631
5854,0.10327925985216953,0.0014088193627022454,4.1560125,Plane 2,1760,7180.107376366163
5855,0.08786798245021775,-0.0004399852815179842,4.1560125,Plane 2,1761,8494.026697496125
5856,0.1097394542828063,-0.0006366516912798357,4.1560125,Plane 2,1762,6760.5360778561035
5857,0.12445628595160887,-0.0017055794483495498,4.1560125,Plane 2,1763,5972.915831867236
5858,0.12933720889880007,-0.001218365235942726,4.1560125,Plane 2,1764,5712.844859972366
5862,0.09563356210540774,-0.0007240410751294591,4.1560125,Plane 2,1768,7715.464024902405
5870,0.09062130802116883,-0.0003870547540653258,4.1560125,Plane 2,1776,8238.77338753576
5873,0.11038813125643743,-0.0003957360354179728,4.1560125,Plane 2,1779,6815.10413426261
5874,0.09222949672116859,0.000778094480945429,4.1560125,Plane 2,1780,8071.018831653412
5875,0.0812287497215657,-0.0011513076461256446,4.1560125,Plane 2,1781,9190.44003822104
5877,0.1151155907158144,-2.9122537898942137e-05,4.1560125,Plane 2,1783,6526.634862887044
5883,0.10259303341227223,-0.0010283773339341197,4.1560125,Plane 2,1789,7184.285768113389
5886,0.11304721503354746,-0.0001672269508488506,4.1560125,Plane 2,1792,6626.026082583554
5887,0.12218568791444853,-0.000649129627144788,4.1560125,Plane 2,1793,6143.237628997545
5891,0.11439596605582457,0.0011102543490683252,4.1560125,Plane 2,1797,6552.063038611474
5899,0.1256358198705555,-0.0011143051843565943,4.1560125,Plane 2,1805,5940.566892394074
5902,0.11409057577796546,0.0001966449886472572,4.1560125,Plane 2,1808,6541.586380330253
5905,0.12597625400752127,0.0012678023210114877,4.1560125,Plane 2,1811,5913.153380398766
